1.0:0.24343980146690472  0.9:0.17871084463580544  0.8:0.2622018387901873  0.7:0.15452343404374477  0.6:0.15684230644998792  0.5:0.11270328808703352  0.4:0.16310669169606118  0.3:0.16321745483828104  0.2:0.09183555037336578  0.1:0.240747216204242  
1.0:0.34038938454869294  0.9:0.2513875967747923  0.8:0.2792882528684415  0.7:0.26900930015546615  0.6:0.15444932908827014  0.5:0.09105654356384273  0.4:0.09557101133380418  0.3:0.08260914901933247  0.2:0.19496754256472723  0.1:0.16530923309448523  
1.0:0.1126158428092052  0.9:0.18131914024988  0.8:0.17632823369336234  0.7:0.19448784417523363  0.6:0.15433585601959496  0.5:0.10965337353727905  0.4:0.09394187186892138  0.3:0.130086583468526  0.2:0.11028737713469346  0.1:0.03680421631990899  
1.0:0.25233490013095417  0.9:0.10015032119438448  0.8:0.15646559961083625  0.7:0.16385018570147783  0.6:0.09996339689792753  0.5:0.1870857532646011  0.4:0.1920125660937384  0.3:0.16590884271969522  0.2:0.09073472851555468  0.1:0.13725728273504045  
1.0:0.17732437953261068  0.9:0.17544867050099167  0.8:0.2791852985349605  0.7:0.12993292420505087  0.6:0.14344588361407717  0.5:0.10962243238183243  0.4:0.09788902246051967  0.3:0.07862419175904271  0.2:0.08811931721940748  0.1:0.16506516248700834  
1.0:0.29893254575852896  0.9:0.17463268298717224  0.8:0.13652478448512556  0.7:0.08370357335782547  0.6:0.1930980792215894  0.5:0.11092648419457785  0.4:0.13005126830743927  0.3:0.08146315914316292  0.2:0.11613912718280445  0.1:NaN  
1.0:0.2384553138932387  0.9:0.15871141407103767  0.8:0.13657199158820107  0.7:0.2676537273156555  0.6:0.18333320522042318  0.5:0.18576813954340302  0.4:0.18177218892809058  0.3:0.17414124994669905  0.2:0.19501615481665346  0.1:0.1652786959788761  
1.0:0.17662437849684035  0.9:0.1759803664534158  0.8:0.1665346354985669  0.7:0.15828134730725643  0.6:0.08883522177643005  0.5:0.10230762681247763  0.4:0.09571623991070854  0.3:0.16878827646635383  0.2:0.19551103971311964  0.1:0.04113344562489933  
1.0:0.178945773019601  0.9:0.2814555772029037  0.8:0.09359703513113977  0.7:0.14466699373272573  0.6:0.16696027000088778  0.5:0.08715529564932759  0.4:0.16173068760040243  0.3:0.08942192839880693  0.2:0.10913963809196804  0.1:0.10154377276503376  
1.0:0.17841040519903967  0.9:0.18828573237359947  0.8:0.13565961217894557  0.7:0.10625659938164098  0.6:0.19162155757849306  0.5:0.1350808588239887  0.4:0.08893243083415768  0.3:0.14187202980220562  0.2:0.11686900772087574  0.1:0.12598725229797791  
